study_id,arm_code,arm_label,product_id,product_role,dose,dose_unit,dosing_schedule,planned_allocation_pct
CT-101,A,Rasotinib 300 mg,PRD-001,INVESTIGATIONAL,300,mg,QD,40
CT-101,B,Rasotinib 150 mg,PRD-001,INVESTIGATIONAL,150,mg,QD,40
CT-101,C,Docetaxel comparator,PRD-901,ACTIVE_COMPARATOR,75,mg/m2,Q3W,20
CT-102,A,Nevagliflozin 25 mg,PRD-003,INVESTIGATIONAL,25,mg,QD,50
CT-102,B,Placebo,PRD-999,PLACEBO,,,QD,50
CT-103,A,Solvimab 300 mg,PRD-002,INVESTIGATIONAL,300,mg,Q2W,25
CT-103,B,Solvimab 150 mg,PRD-002,INVESTIGATIONAL,150,mg,Q2W,25
CT-103,C,Solvimab 50 mg,PRD-002,INVESTIGATIONAL,50,mg,Q2W,25
CT-103,D,Placebo,PRD-999,PLACEBO,,,Q2W,25
CT-104,A,Meridumab 10 mg/kg,PRD-004,INVESTIGATIONAL,10,mg/kg,Q4W,40
CT-104,B,Meridumab 5 mg/kg,PRD-004,INVESTIGATIONAL,5,mg/kg,Q4W,40
CT-104,C,Placebo,PRD-999,PLACEBO,,,Q4W,20
CT-105,A,Nevagliflozin 25 mg,PRD-003,INVESTIGATIONAL,25,mg,QD,18
CT-105,B,Nevagliflozin 50 mg,PRD-003,INVESTIGATIONAL,50,mg,QD,18
CT-105,C,Nevagliflozin 100 mg,PRD-003,INVESTIGATIONAL,100,mg,QD,18
CT-105,D,Nevagliflozin 200 mg,PRD-003,INVESTIGATIONAL,200,mg,QD,18
CT-105,E,Nevagliflozin 400 mg,PRD-003,INVESTIGATIONAL,400,mg,QD,18
CT-105,F,Placebo,PRD-999,PLACEBO,,,QD,10
CT-106,A,Solvimab 300 mg,PRD-002,INVESTIGATIONAL,300,mg,Q4W,40
CT-106,B,Solvimab 150 mg,PRD-002,INVESTIGATIONAL,150,mg,Q4W,40
CT-106,C,Placebo,PRD-999,PLACEBO,,,Q4W,20
